title,desc,tags
除了西湖，杭州还有这条运河citywalk路线,起点:拱宸桥西码头→终点:小河直街 1️⃣拱宸桥 ·杭州运河地标，站在桥上俯瞰运河船只往来，感受千年运河的流动历史。 2️⃣桥西历史街区 ·青石板路、白墙黛瓦的老建筑群，分布着中国刀剪剑博物馆、中国伞博物馆、中国扇博物馆(免费，周一闭馆)，可深入了解非遗文化。 3️⃣运河手工艺活态馆 ·体验传统手作(油纸伞、竹编、陶艺等)，适合亲子或文艺爱好者。 4️⃣小河直街 ·沿运河步行约15分钟抵达，文艺小店、咖啡馆、茶馆林立，推荐打卡「大橘家咖啡馆」「小河无名面馆」，感受老街慢时光。 	 #杭州旅游[话题]# #杭州旅游攻略[话题]# #杭州运河[话题]# #chinatravel[话题]# #citywalk[话题]# #西湖[话题]# #杭州周末去哪儿[话题]# #城市小众打卡地[话题]# #小河直街[话题]# #桥西直街[话题]#,"杭州旅游, 杭州旅游攻略, 杭州运河, chinatravel, citywalk, 西湖, 杭州周末去哪儿, 城市小众打卡地, 小河直街, 桥西直街"
实话确实难听，但这就是杭州旅游现状,作为在杭州生活几十年的杭州人，说点杭州旅游的大实话吧 写给想要来杭州旅游的小伙伴们！ 1、杭州真的不适合走马观花的特种兵式旅游，如果可以，需要慢一点去品味杭州的美，结合历史、人文、景色会有更好的体验 	 2、一般来杭州玩的人都会去苏堤白堤等外西湖，人又多，且相对美景少，推荐乌龟潭-浴鹄湾-花港观鱼这一条线路，更绿更有意境，会有绿野仙踪的感觉 	 3、想去灵隐寺是需要买两个票的，飞来峰景区和灵隐寺的两个票，因为这是两个公司管理的 	 4、河坊街、小河直街这些地方人多，商业化严重，不用很仔细玩，游览一下就可以 	 5、茅家埠、龙井村、九溪这些地方很适合citywalk，但是看天气，夏天会非常热 	 6、杭州博物馆很多，很好逛，丝绸博物馆、良渚博物馆、之江新开的浙江博物馆，不花钱就可以看但注意预约时间 	 7、良渚适合抽一天游览，离主城区比较远，但是整体氛围感很不错 	 8、杭州的食物可以说吃不惯，但是说美食荒漠真的很没有礼貌，好吃的有，没有必要上来就玩梗，杭州菜不是只有西湖醋鱼 	 9、杭州的甜品面包非常好吃！富贵面包公司、黑彩虹、安莎烘焙等，值得去打卡试一下！ 	 10、杭州交通市中心会比较堵，可以的话选择公众交通，共享单车也是不错的选择 	 真心希望每一个来杭州玩的朋友能有个好的旅游体验，杭州值得大家来，感谢大家来 [飞吻R][飞吻R][飞吻R] #民宿[话题]#  #西湖[话题]#  #杭州[话题]#  #旅游[话题]#  #不可错过的美景[话题]#  #旅行推荐官[话题]#  #旅途中的美景[话题]#  #小众景点[话题]#  #杭州美食[话题]#  #杭州旅游[话题]#  #自驾游路线[话题]#  @走走薯  @生活薯,"民宿, 西湖, 杭州, 旅游, 不可错过的美景, 旅行推荐官, 旅途中的美景, 小众景点, 杭州美食, 杭州旅游, 自驾游路线"
杭州本地人才知道的馒头山citywalk路线,#杭州周末去哪儿[话题]# #杭州citywalk[话题]# #游玩攻略[话题]# #万松书院[话题]# #馒头山[话题]# #杭州创意园区[话题]# #本地人才知道的好地方[话题]# #文艺生活者[话题]# #城市速写师[话题]#,"杭州周末去哪儿, 杭州citywalk, 游玩攻略, 万松书院, 馒头山, 杭州创意园区, 本地人才知道的好地方, 文艺生活者, 城市速写师"
比起西湖，我更推荐杭州运河边小众citywalk,第一次来杭州，一定要知道这条小众citywalk 这里藏着杭州的一半历史，一半人间烟火 如果给杭州留2天时间，除了西湖一日游 听我劝：走完这条citywalk杭州才不算白来！ 	 · ✅路线行程 武林门码头—信义坊码头—富义仓—香积寺—大兜路历史文化街区—小河直街—小河公园—桥西历史文化街区—拱宸桥码头-武林门码头-西湖文化广场-武林夜市 	 ⚠️Tips：水上巴士1号线 只用3r就能游遍大运河沿线景点，建议早上提前排队上船占窗边位置！非首发站，途径站点上船，不一定每个班次都有座位！如果这一趟船满员，就要继续等下一趟时间！ 	 . ✅必打卡景点 ❶香积寺 🎫门票：20r（寺庙卡免费） 门口可以看到绝美的古今同框！这里可以吃斋饭！ 	 ❷大兜路历史文化街区 🎫门票：免费 保留了很多清末民初的历史建筑，我拍到了一半仙气一半烟火！ 	 ❸富义仓遗址公园 🎫门票：免费 有天下粮仓之称，现在内部不定期举办各种展览 	 ❹小河直街 🎫门票：免费 极具江南水乡韵味的建筑，手作/咖啡/茶馆二文 艺氛围感满满💯 	 ❺小河公园 🎫门票：免费 浓浓现代工业风的油罐建筑，是日本建筑大师隈研吾团队设计，由小河油库改建而成。本地人zui爱逛的公园！ 	 ❻桥西历史文化街区 🎫门票：免费 藏着杭州近现代百年工业发展故事，来这里寻找街巷里弄的人间烟火。一口气逛完6个博物馆，还能一路集齐盖章！ 	 . ✅住宿 我们入住了「杭州纳德世家大酒店」交通非常便捷，距离游玩西湖&大运河都很近，湖景房站在窗边一眼能看到西湖！堪称市中心的性价比之王！不得不说：酒店提供的自助餐打破了我对杭州美食的印象！海鲜自由！甜品自由！中式菜品口味也很👍一楼还有新中式下午茶，真的很惬意～ . #杭州周末去哪儿[话题]# #周末去哪儿[话题]# #杭州Citywalk[话题]# #杭州[话题]# #杭州旅游[话题]# #杭州拍照[话题]# #京杭大运河杭州景区[话题]# #杭州周末好去处[话题]# #周末好去处[话题]# #国庆节旅游[话题]# #国庆去哪儿玩[话题]# #国庆旅游攻略[话题]# #旅游攻略[话题]# #杭州旅行[话题]# #杭州旅行攻略[话题]# #杭州旅遊攻略[话题]# #家门口也有好风景[话题]# #不懂就问有问必答[话题]# #分享一次住宿体验[话题]#,"杭州周末去哪儿, 周末去哪儿, 杭州Citywalk, 杭州, 杭州旅游, 杭州拍照, 京杭大运河杭州景区, 杭州周末好去处, 周末好去处, 国庆节旅游, 国庆去哪儿玩, 国庆旅游攻略, 旅游攻略, 杭州旅行, 杭州旅行攻略, 杭州旅遊攻略, 家门口也有好风景, 不懂就问有问必答, 分享一次住宿体验"
真的没人‼️西湖边zui舒服的citywalk路线,#国庆我要慢慢玩[话题]# 西湖的美不仅在于湖 还在于围绕着西湖的群山⛰️ 杭州生活12年 走遍了西湖的角角落落 分享我zui爱的杭州西湖citywalk路线 人少清净，本地人推荐👍🏻 · 📏步行距离：4.5km（5000步） ⏰全程耗时：3.5h（含游玩时间） 🗺️具体路线：如下 · 1️⃣茅家埠→2️⃣郭庄→3️⃣赵公堤→4️⃣云松书舍→5️⃣植物园南门→6️⃣韩美林艺术馆→7️⃣玉泉景点→8️⃣植物园青芝坞门→9️⃣青芝坞 · 1️⃣茅家埠 🎫：免费 西湖后花园，比起人挤人的西湖南线，茅家埠很幽静，这里看西湖有一种自然的野趣 · 2️⃣小西湖郭庄 🎫：10 西湖四大名园之一，比起苏州园林的精巧，郭庄的美更风雅一些，这里可以边喝茶边赏景，独享一片西湖 · 3️⃣赵公堤 🎫：免费 比起大名鼎鼎的苏堤、白堤，宋代而建的赵公堤几乎没人，曲径通幽，绿意盎然 · 4️⃣云松书舍 🎫：免费 金庸先生的私宅，典型的江南园林风格，有苏州园林的影子，却少了三分雕饰，多了三分古朴温润 · 5️⃣植物园 🎫：10 植物园是杭州zui值得逛的景点之一，面积很大人很少，每个季节都有不同的美，现在彼岸花开得正好 · 6️⃣韩美林艺术馆 🎫：免费，包含在植物园门票内 植物园必打卡的机位之一，藏在艺术馆里的巨型佛头，很有宿命感 · 7️⃣玉泉景点 🎫：免费，包含在植物园门票内 亭台楼阁水榭，这里有很多锦鲤，所以又叫玉泉鱼跃，很治愈 · 9️⃣青芝坞 🎫：免费 浙大旁的老杭州社区，有很多家常杭帮菜、私房菜，也有不少民宿 · ⚠️Tips 我是在圆周旅迹上做的行程攻略，真的很爱这个app💗可以精准的显示每个景点之间的距离，推荐的交通方式🚗和大概需要的时间⌚️，还可以直接唤起导航，再也不怕迷路咯。而且还可以导入🍠的攻略，自动生成路线，系统还会帮你优化，简直就是懒人救星👍🏻 · #J人旅行指南[话题]# #圆周旅迹[话题]# #1分钟搞定旅行规划[话题]# #杭州旅游[话题]# #杭州旅行[话题]# #杭州citywalk[话题]# #西湖[话题]# #西湖美景[话题]# #国庆划得来逛吃指南[话题]# #本地人才知道的小众景点[话题]# #秋日浓度播报[话题]# #杭州拍照[话题]#,"国庆我要慢慢玩, J人旅行指南, 圆周旅迹, 1分钟搞定旅行规划, 杭州旅游, 杭州旅行, 杭州citywalk, 西湖, 西湖美景, 国庆划得来逛吃指南, 本地人才知道的小众景点, 秋日浓度播报, 杭州拍照"
暴走2w步，来杭州只逛一条街📍中山中路,中山中路真的是宝藏街区！开端是南宋御街，靠近河坊街，但没那么商业化。头顶绿色茂密大树🌳，夏天走也不会太热。一路往北走，能看到很多欧式风格的历史建筑洋房🏦 	 🕌凤凰寺 在市区的伊斯兰教礼拜中心，因此周围有很多清真牛羊肉餐饮店。地方不大，10分钟就能逛完，免费参观～ 	 🏛️羊坝头 旁边是欧式建筑，网红电商服装人御用场地，运气好的话能偶遇杭州网红～ 	 如果懒得规划路线，那么直接从中山中路1号一直走到底，无脑又轻松地get这条路～ 	 🍴特色餐厅 羊坝头马大西北牛肉火锅 喀摩尔土耳其风味餐厅 番禺申记·现切猪杂粥 岐照·日式挽肉大米 奎元馆 	 🍰咖啡甜品店 pandas bamboo熊竹咖啡 梦记咖啡 三浪咖啡 bitofree甜菜 晓春和 福兹FUTSU QUEL QUER sip coffee&taproom 	 🍹酒吧 养鱼young boss bar 日出sunrise lounge 红lounge bar 隔壁酒馆 outsider局外人精酿 #杭州citywalk[话题]# #杭州周末去哪儿[话题]# #旅游[话题]# #杭州拍照[话题]# #杭州咖啡店[话题]# #杭州面包店[话题]# #逛街[话题]#,"杭州citywalk, 杭州周末去哪儿, 旅游, 杭州拍照, 杭州咖啡店, 杭州面包店, 逛街"
坐3元的水上巴士，逛烟火气的老杭州‼️,如果你只有一天时间，那么杭州这条最具烟火气的一日游路线，一定不要错过~ #杭州citywalk[话题]##杭州小众打卡地[话题]##杭州周末去哪儿[话题]##古街古巷[话题]##旅游编辑部[话题]##胡雪岩故居[话题]##十五奎巷[话题]##大马弄[话题]##南宋御街[话题]##河坊街[话题]##五柳巷[话题]##德寿宫[话题]##杭州水上巴士[话题]##江浙沪旅游[话题]##旅行记忆放映计划[话题]##一键放映旅行攻略[话题]##上海周边游[话题]##江浙沪周边游[话题]#,"杭州citywalk, 杭州小众打卡地, 杭州周末去哪儿, 古街古巷, 旅游编辑部, 胡雪岩故居, 十五奎巷, 大马弄, 南宋御街, 河坊街, 五柳巷, 德寿宫, 杭州水上巴士, 江浙沪旅游, 旅行记忆放映计划, 一键放映旅行攻略, 上海周边游, 江浙沪周边游"
杭州citywalk孩儿巷🔜中山北路🔜屏风街,还有谁不知道杭州这条citywalk路线 孩儿巷—中山北路—屏风街  顺路又好逛 	 🚇地铁1/2号线 凤起路站 A出口 出站就是📍孩儿巷 ☕️Pasto COFI COFI 🧸橡皮文具店 🍞慢熟面包店bud bread ☕️咖啡脑袋 🥯Tira misu提拉米苏 🥯Tiohoh 贝果三明治店 ☕️Parking coffee ☕️Manner Coffee 	 📍孩儿巷走到底就是📍中山北路 先右转➡️ 🥯皮师👨‍🍳马卡龙 再左转⬅️ 🥯红跑车蛋糕世界 ☕️无由·Tea zone 🍨阿嬷的糖水铺 ☕️村口大树 🍜小狗面馆 🥯AZAHAR安莎烘焙 🧸Really Cool古着店 ☕️吉市cafe 🍨冰喜福雪冰·鲜奶·甜品 🍔Black Burger黑汉堡 🥯Cycle Cycle 	 逛完Cycle📍中山北路右边过马路就是📍屏风街 🥯fa酵食堂 🥯CHOCMONS巧克怪兽 	 逛完还可以骑🚲去📍银泰in77 意外收获卡皮巴拉快闪 太太太可爱了 沿途会经过可爱的拍立得照相馆 📷得意胶片馆 📷来拍照叭 #假日citywalk[话题]# #城市里那些可可爱爱的小店[话题]# #宝藏小店[话题]# #杭州[话题]# #杭州citywalk[话题]# #杭州美食[话题]# #孩儿巷[话题]# #杭州中山北路[话题]#,"假日citywalk, 城市里那些可可爱爱的小店, 宝藏小店, 杭州, 杭州citywalk, 杭州美食, 孩儿巷, 杭州中山北路"
五一避开人挤人‼️一天打卡杭州8个免费景点,除了去西湖、去灵隐寺，还有一条私藏许久的citywalk路线 花一天时间，既能乘坐zui美水上巴士，又能逛吃老杭州感受市井气息，这条避开人流的小众路线赶快收藏好哦！ （⚠️文字攻略在最后） ………… 「CityWalk一日游路线」 坝子桥➟梅花碑➟五柳巷➟德寿宫➟十五奎巷➟大马弄➟鼓楼➟南宋御街➟河坊街 ………… 「关于住宿」 可以选择这三个地方： ①湖滨步行街 ②河坊街 ③黄龙广场 PS：无论是交通还是吃饭都很方便，距离西湖、河坊街非常近 ………… ►►►第1站：水上巴士7号线◄◄◄ 地铁5号线「宝善桥A2口」或者公交「莫衙营站」下车 步行200米抵达「坝子桥水上巴士站」 🎫船票：3r/人，上船刷卡 🚢8人一船（小船），下午16:00那班能坐24人（大船） 	 ►►►第2站：五柳巷◄◄◄ 从梅花碑下船步行5min到五柳巷，沿河而建，一侧是绿荫小路，一侧是老城生活区，充斥着老杭州的市井气息 有几处美食可以打卡： ❶游埠豆浆：咸豆浆、油条、烧饼 ❷金华酥饼：梅干菜烧饼 ❸赵宝美点心店：小馄饨、葱煎包 	 ►►►第3站：德寿宫◄◄◄ 整个场馆分地上和地下两部分，相比较修缮一新的地上宫殿，我geng喜欢地下的慈福宫遗址和重华殿 🎫门票：免费 ⏰开放时间：09:30—17:00 📢公益讲解：上午10:30，下午14:30（游客中心集合） ～必看的两场数字影像（时⌚️间表见视频）～ 	 ►►►第4站：十五奎巷◄◄◄ 解锁拍照机位📍巴尔干客栈（十五奎巷的晓霞弄） 这里能拍到小巷子与望仙阁同框照片～ 	 ►►►第5站：大马弄◄◄◄ 步行5分钟到大马弄，寻找藏在菜市场里的杭州味道 ❶蒋师傅酥鱼 ❷周萍粽子 ❸菊英面店 ❹侯大姐葱包烩 ❺小王油墩儿 ❻素烧鹅 	 ►►►第6站：鼓楼◄◄◄ 临近傍晚，从大马弄步行10分钟抵达鼓楼，比起白天的模样，夜幕下的鼓楼更有感觉 古色古香的建筑配上红色灯笼和盘旋着的金色祥龙，福气满分！ 	 ►►►第7站：南宋御街◄◄◄ 穿过鼓楼，进入清河坊，比起热闹的街巷，我更喜欢呆在「猫空」这样的地方， 	 ►►►第8站：河坊街◄◄◄ 与南宋御街交叉的东西向老街「清河坊」，是杭州唯一保存完整的旧街区 逛完清河坊，可以到旁边的高银街，有很多杭帮菜的餐馆 #五一怎么办[话题]#  #旅游攻略编辑部[话题]#  #五一不扎堆指南[话题]#  #来我家乡玩一天[话题]#  #杭州旅行[话题]#  #杭州旅行攻略[话题]#  #西湖[话题]#  #灵隐寺[话题]#  #京杭大运河[话题]#  #我要反向旅游[话题]#,"五一怎么办, 旅游攻略编辑部, 五一不扎堆指南, 来我家乡玩一天, 杭州旅行, 杭州旅行攻略, 西湖, 灵隐寺, 京杭大运河, 我要反向旅游"
比起西湖，我更喜欢这条杭州小众Citywalk‼️,hello 我是安安， 一个梦想带你看看世界的摄影师！ 	 来杭州不要只知道西湖了 这条小众的city walk 路线人少景美更值得一逛 一路小巷烟火，绿野仙踪，非常舒服惬意🍃 	 👣接下来把这条路线分享给大家 🗺️十五奎巷-晓霞弄-伍公庙-城隍阁-江湖汇观亭—积义亭—古望江门附近 	 1️⃣晓霞弄【图1.2.5】 站在小巷中可以和望仙阁同框，人文烟火气和动画版场景在这里结合，背后的步道也是绿色葱葱，在阳光的照射下的树影婆娑，非常舒服 	 2️⃣积义亭【图3.4】 一片绿浪海洋包裹着远处的城隍阁 营造出现实版的绿野仙踪 	 3️⃣江湖汇观亭【图5】 在亭中休憩片刻，可以高处看到西湖和城隍阁 用亭子阁拦拍一张框架式构图，包裹城隍阁 	 4️⃣伍公庙【图7.8.9】 因伍子胥而得名的一个清幽的小庙 在绿树成荫下，蒙上了神秘的色彩 	 5️⃣古望江门【图13】 7点城隍阁亮灯，来到这附近使用✈️就能拍到 城隍阁和忘仙阁亮灯的同框了 	 🌟最近天气炎热，蚊虫比较多，出行记得做好保护措施 	 ☺️我是奈何，一直在看世界的路上，让我做你的眼睛看看没有时间去看的风景，我们下一站再见啦。 	 #杭州拍照[话题]# #杭州[话题]# #杭州小众拍照[话题]# #杭州Citywalk[话题]# #杭州旅遊攻略[话题]##旅行随地大小拍[话题]##高智感华系神车[话题]#,"杭州拍照, 杭州, 杭州小众拍照, 杭州Citywalk, 杭州旅遊攻略, 旅行随地大小拍, 高智感华系神车"
